~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e1117;v219;v1;production_var;15;s;FACONNER;pcs;
e1118;v219;v1;production_var;15;s;APRETER;pcs;
e1119;v219;v1;production_var;18;s;PESER;pcs;
e1120;v219;v1;production_var;30;s;CUIRE;pcs;
e1121;v219;v1;production_var;10;s;RESERVER;pcs;
e1122;v219;v1;production_var;10;s;NETTOYER;pcs;
e1127;v222;v1;production_var;10;s;FACONNER;pcs;
e1128;v222;v1;production_var;16;s;APRETER;pcs;
e1129;v222;v1;production_var;30;s;CUIRE;pcs;
e1130;v222;v1;production_var;10;s;RESERVER;pcs;
e1131;v222;v1;production_var;15;s;PESER;pcs;
e1132;v222;v1;production_var;10;s;NETTOYER;pcs;
e1138;v226;v1;production_var;10;s;FACONNER;pcs;
e1139;v226;v1;production_var;16;s;APRETER;pcs;
e1140;v226;v1;production_var;30;s;CUIRE;pcs;
e1141;v226;v1;production_var;10;s;RESERVER;pcs;
e1142;v226;v1;production_var;15;s;PESER;pcs;
e1143;v226;v1;production_var;10;s;NETTOYER;pcs;
e1147;v230;v1;production_var;10;s;FACONNER;pcs;
e1148;v230;v1;production_var;30;s;CUIRE;pcs;
e1149;v230;v1;production_var;10;s;RESERVER;pcs;
e1150;v230;v1;production_var;15;s;PESER;pcs;
e1151;v230;v1;production_var;10;s;NETTOYER;pcs;
e1152;v232;v1;production_var;11;;PESER;pcs;
e1153;v232;v1;production_var;11;;FACONNER;pcs;
e1154;v232;v1;production_var;8;;APRETER;pcs;
e1156;v232;v1;production_var;4;;RESERVER;pcs;
e1162;v235;v1;production_var;10;s;PESER;pcs;
e1163;v235;v1;production_var;10;s;FACONNER;pcs;
e1164;v235;v1;production_var;7;s;APRETER;pcs;
e1166;v235;v1;production_var;3;s;RESERVER;pcs;
e1173;v240;v1;production_var;10;s;DETAILLER;pcs;
e1174;v240;v1;production_var;4;s;FACONNER;pcs;
e1176;v240;v1;production_var;4.5;s;CUIRE;pcs;
e1177;v240;v1;production_var;3;s;RESERVER;pcs;
e1184;v243;v1;production_var;18;s;FACONNER;pcs;
e1185;v243;v1;production_var;12;s;APRETER;pcs;
e1186;v243;v1;production_var;24;s;CUIRE;pcs;
e1187;v243;v1;production_var;6;s;RESERVER;pcs;
e1194;v254;v1;production_var;18;s;FACONNER;pcs;
e1195;v254;v1;production_var;12;s;APRETER;pcs;
e1196;v254;v1;production_var;24;s;CUIRE;pcs;
e1197;v254;v1;production_var;6;s;RESERVER;pcs;
e1204;v256;v1;production_var;10;s;DETAILLER;pcs;
e1205;v256;v1;production_var;4;s;FACONNER;pcs;
e1207;v256;v1;production_var;4.5;s;CUIRE;pcs;
e1208;v256;v1;production_var;3;s;RESERVER;pcs;
e1216;v259;v1;production_var;15;s;FACONNER;pcs;
e1217;v259;v1;production_var;10;s;APRETER;pcs;
e1218;v259;v1;production_var;20;s;CUIRE;pcs;
e1219;v259;v1;production_var;5;s;RESERVER;pcs;
e1221;v260;v1;production_var;15;s;GARNIR;pcs;
e1223;v261;v1;production_var;15;s;GARNIR;pcs;
e1224;v262;v1;production_var;6;s;DETAILLER;pcs;
e1225;v262;v1;production_var;20;s;FACONNER;pcs;
e1226;v262;v1;production_var;12;s;DORER;pcs;
e1227;v262;v1;production_var;9;s;CUIRE;pcs;
e1228;v262;v1;production_var;9;s;RESERVER;pcs;
e1229;v262;v1;production_var;6;s;GLACER;pcs;
e1235;v263;v1;production_var;4.5;s;RESERVER;pcs;
e1236;v263;v1;production_var;4.5;s;DETAILLER;pcs;
e1237;v263;v1;production_var;6;s;DORER;pcs;
e1238;v264;v1;production_var;4;s;SUCRER;pcs;
e1239;v264;v1;production_var;4;s;ROULER;pcs;
e1240;v264;v1;production_var;4;s;DETAILLER;pcs;
e1241;v264;v1;production_var;8;s;DORER;pcs;
e1242;v264;v1;production_var;6;s;CUIRE;pcs;
e1243;v264;v1;production_var;6;s;RESERVER;pcs;
e1246;v265;v1;production_var;30;s;FACONNER;pcs;
e1247;v265;v1;production_var;12;s;DORER;pcs;
e1248;v265;v1;production_var;18;s;CUIRE;pcs;
e1249;v265;v1;production_var;18;s;RESERVER;pcs;
e1251;v266;v1;production_var;8;s;MOULER;pcs;
e1252;v266;v1;production_var;4;s;CUIRE;pcs;
e1253;v266;v1;production_var;8;s;RESERVER;pcs;
e1257;v268;v1;production_var;8;s;MOULER;pcs;
e1258;v268;v1;production_var;4;s;CUIRE;pcs;
e1259;v268;v1;production_var;8;s;RESERVER;pcs;
e1263;v270;v1;production_var;10;s;DETAILLER;pcs;
e1264;v270;v1;production_var;4;s;FACONNER;pcs;
e1266;v270;v1;production_var;4.5;s;CUIRE;pcs;
e1267;v270;v1;production_var;3;s;RESERVER;pcs;
e1269;v271;v1;production_var;10;s;DETAILLER;pcs;
e1270;v271;v1;production_var;4;s;FACONNER;pcs;
e1272;v271;v1;production_var;4.5;s;CUIRE;pcs;
e1273;v271;v1;production_var;3;s;RESERVER;pcs;
