~id;from;to;label;Recette;unit;Step_Prod;unit_action;temps_masque
e494;v224;v6;contient;1652;g;;;
e495;v224;v9;contient;42;g;;;
e496;v224;v10;contient;2;g;;;
e497;v224;v216;contient;1101;g;;;
e498;v225;v272;contient;;;;;
e499;v227;v226;contient;1;pcs;;;
e500;v227;v224;contient;1333;g;;;
e501;v228;v229;contient;2729;g;;;
e502;v228;v102;contient;68;g;;;
e503;v228;v6;contient;2074;g;;;
e504;v228;v10;contient;60;g;;;
e505;v228;v9;contient;68;g;;;
e506;v229;v272;contient;;;;;
e507;v231;v228;contient;1333;g;;;
e508;v231;v230;contient;1;pcs;;;
e509;v232;v233;contient;460;g;;;
e510;v233;v234;contient;786;g;;;
e511;v233;v20;contient;1179;g;;;
e512;v233;v6;contient;1258;g;;;
e513;v233;v216;contient;393;g;;;
e514;v233;v9;contient;39;g;;;
e515;v233;v10;contient;24;g;;;
e516;v235;v236;contient;300;g;;;
e517;v236;v20;contient;1000;g;;;
e518;v236;v16;contient;400;g;;;
e519;v236;v4;contient;200;g;;;
e520;v236;v18;contient;300;g;;;
e521;v236;v7;contient;80;g;;;
e522;v236;v10;contient;50;g;;;
e523;v236;v9;contient;20;g;;;
e524;v236;v237;contient;200;g;;;
e525;v236;v238;contient;200;g;;;
e526;v236;v207;contient;200;g;;;
e527;v236;v239;contient;50;g;;;
e528;v240;v241;contient;350;g;;;
e529;v241;v242;contient;3600;g;;;
e530;v241;v9;contient;60;g;;;
e531;v241;v10;contient;30;g;;;
e532;v241;v216;contient;600;g;;;
e533;v241;v6;contient;2310;g;;;
e534;v243;v244;contient;514;g;;;
e535;v244;v245;contient;1250;g;;;
e536;v244;v9;contient;20;g;;;
e537;v244;v10;contient;30;g;;;
e538;v244;v72;contient;85;g;;;
e539;v244;v102;contient;60;g;;;
e540;v244;v6;contient;1125;g;;;
e541;v246;v285;contient;;;;;
e542;v250;v284;contient;;;;;
e543;v253;v285;contient;;;;;
e544;v254;v255;contient;500;g;;;
e545;v255;v5;contient;1129;g;;;
e546;v255;v221;contient;282;g;;;
e547;v255;v6;contient;564;g;;;
e548;v255;v16;contient;367;g;;;
e549;v255;v7;contient;28;g;;;
e550;v255;v9;contient;14;g;;;
e551;v255;v10;contient;17;g;;;
e552;v255;v246;contient;169;g;;;
e553;v256;v31;contient;666.7;g;;;
e554;v257;v258;contient;1000;g;;;
e555;v257;v259;contient;1;pcs;;;
e556;v258;v12;contient;2040;g;;;
e557;v258;v5;contient;1456;g;;;
e558;v258;v247;contient;466;g;;;
e559;v258;v248;contient;87;g;;;
e560;v258;v10;contient;58;g;;;
e561;v258;v6;contient;1864;g;;;
e562;v258;v7;contient;29;g;;;
e563;v260;v258;contient;1000;g;;;
e564;v260;v259;contient;1;pcs;;;
e565;v260;v237;contient;100;g;;;
e566;v260;v249;contient;100;g;;;
e567;v261;v258;contient;1000;g;;;
e568;v261;v259;contient;1;pcs;;;
e569;v261;v250;contient;50;g;;;
e570;v261;v251;contient;5;g;;;
e571;v262;v55;contient;80;g;;;
e572;v262;v22;contient;50;g;;;
e573;v262;v252;contient;36;g;;;
e574;v263;v3;contient;80;g;;;
e575;v263;v4;contient;3;g;;;
e576;v263;v253;contient;25;g;;;
e577;v264;v55;contient;70;g;;;
e578;v264;v7;contient;20;g;;;
e579;v265;v65;contient;50;g;;;
e580;v265;v4;contient;2;g;;;
e581;v265;v253;contient;20;g;;;
e582;v266;v267;contient;100;g;;;
e583;v267;v20;contient;740;g;;;
e584;v267;v161;contient;167;g;;;
e585;v267;v71;contient;26;g;;;
e586;v267;v9;contient;12;g;;;
e587;v267;v4;contient;239;g;;;
e588;v267;v7;contient;478;g;;;
e589;v267;v18;contient;430;g;;;
e590;v267;v16;contient;573;g;;;
e591;v267;v66;contient;334;g;;;
e592;v268;v269;contient;100;g;;;
e593;v269;v20;contient;817;g;;;
e594;v269;v71;contient;24;g;;;
e595;v269;v9;contient;11;g;;;
e596;v269;v4;contient;215;g;;;
e597;v269;v7;contient;430;g;;;
e598;v269;v18;contient;387;g;;;
e599;v269;v16;contient;516;g;;;
e600;v269;v66;contient;602;g;;;
e601;v270;v31;contient;7000;g;;;
e602;v271;v28;contient;7000;g;;;
